"Catalogo de sismos - Servicio Sismologico Nacional (SSN) | UNAM - Mexico. DOI: 10.21766/SSNMX/EC/MX"
"Informacion sujeta a cambios. Archivo generado el 2022-09-05 a las 20:12:56 (tiempo del centro de Mexico)."
"Sismicidad del 2022-01-01 al 2022-09-05, mag. 4.0 a 9.9, todas las profundidades, en todo el pais."
"Total: 1503 eventos."
Fecha,Hora,Magnitud,Latitud,Longitud,Profundidad,"Referencia de localizacion","Fecha UTC","Hora UTC","Estatus"
2022-01-01,03:35:01,4.6,14.6383,-92.1747,93.2,"5 km al SUROESTE de CD HIDALGO, CHIS",2022-01-01,09:35:01,revisado
2022-01-01,11:00:23,4.0,18.7943,-107.154,10.0,"277 km al OESTE de CIHUATLAN, JAL",2022-01-01,17:00:23,revisado
2022-01-01,12:05:06,4.0,17.148,-93.3262,5.0,"39 km al NORTE de BERRIOZABAL, CHIS",2022-01-01,18:05:06,revisado
2022-01-02,05:18:55,4.2,19.5375,-92.583,10.0,"111 km al NORTE de FRONTERA, TAB",2022-01-02,11:18:55,revisado
2022-01-02,08:00:25,4.0,26.2593,-110.57,10.0,"82 km al NORESTE de LORETO, BCS",2022-01-02,14:00:25,revisado
2022-01-02,19:37:25,4.0,17.48,-95.2083,127.4,"52 km al SUROESTE de SAYULA DE ALEMAN, VER",2022-01-03,01:37:25,revisado
2022-01-03,02:37:48,4.2,15.668,-94.97,21.6,"62 km al SURESTE de SALINA CRUZ, OAX",2022-01-03,08:37:48,revisado
2022-01-03,05:09:39,4.0,25.179,-109.712,10.0,"98 km al SUROESTE de AHOME, SIN",2022-01-03,11:09:39,revisado
2022-01-03,08:43:33,4.3,15.427,-92.069,203.9,"20 km al NORESTE de MOTOZINTLA, CHIS",2022-01-03,14:43:33,revisado
2022-01-03,11:34:48,4.6,18.3705,-101.106,51.2,"36 km al SUROESTE de HUETAMO, MICH",2022-01-03,17:34:48,revisado
2022-01-03,15:01:57,4.0,16.2062,-93.4817,134.9,"23 km al OESTE de VILLAFLORES, CHIS",2022-01-03,21:01:57,revisado
2022-01-03,21:34:28,4.1,16.4632,-99.9523,8.6,"45 km al SUR de ACAPULCO, GRO",2022-01-04,03:34:28,revisado
2022-01-03,22:51:29,4.0,15.9883,-98.459,18.4,"58 km al SUROESTE de PINOTEPA NACIONAL, OAX",2022-01-04,04:51:29,revisado
2022-01-03,23:58:17,4.0,28.5628,-100.382,5.0,"21 km al SURESTE de PIEDRAS NEGRAS, COAH",2022-01-04,05:58:17,revisado
2022-01-04,01:13:04,4.2,16.1635,-98.902,16.0,"78 km al SUROESTE de OMETEPEC, GRO",2022-01-04,07:13:04,revisado
2022-01-04,01:26:08,4.0,16.8245,-100.095,5.0,"20 km al SUR de COYUCA DE BENITEZ, GRO",2022-01-04,07:26:08,revisado
2022-01-04,07:12:53,4.0,15.3262,-95.0665,16.1,"96 km al SUR de SALINA CRUZ, OAX",2022-01-04,13:12:53,revisado
2022-01-04,07:30:51,4.0,30.1262,-113.742,10.0,"133 km al SUR de PUERTO PEÑASCO, SON",2022-01-04,13:30:51,revisado
2022-01-04,08:15:38,4.0,17.3048,-95.8748,95.6,"75 km al NORESTE de TLACOLULA, OAX",2022-01-04,14:15:38,revisado
2022-01-04,17:13:11,4.0,16.9062,-94.593,124.5,"48 km al ESTE de MATIAS ROMERO, OAX",2022-01-04,23:13:11,revisado
2022-01-05,00:41:43,4.2,15.8655,-97.298,9.4,"22 km al SURESTE de RIO GRANDE, OAX",2022-01-05,06:41:43,revisado
2022-01-05,02:27:22,4.0,17.498,-94.7968,132.3,"46 km al SURESTE de SAYULA DE ALEMAN, VER",2022-01-05,08:27:22,revisado
2022-01-05,07:22:14,4.0,17.8957,-100.143,54.1,"49 km al SURESTE de ARCELIA, GRO",2022-01-05,13:22:14,revisado
2022-01-05,08:45:32,4.0,18.9485,-107.509,10.0,"301 km al SUROESTE de PUERTO VALLARTA, JAL",2022-01-05,14:45:32,revisado
2022-01-05,09:20:35,4.4,16.233,-98.0895,7.8,"13 km al SUROESTE de PINOTEPA NACIONAL, OAX",2022-01-05,15:20:35,revisado
2022-01-05,11:13:09,4.0,16.2208,-98.0735,4.9,"14 km al SUR de PINOTEPA NACIONAL, OAX",2022-01-05,17:13:09,revisado
2022-01-05,11:55:57,4.0,23.7037,-109.464,10.0,"75 km al NORESTE de SAN JOSE DEL CABO, BCS",2022-01-05,17:55:57,revisado
