ID,Point,x,,y,U (ppm) Th,(ppm),K (%),Rock Type,Density (kgm 3),"Heat
production (μW m−3)",Litostratigraphic unit
100,USPB4,-105.4869,,24.968819,4.8,10.2,3.1,Ash flow tuff,2461.33,2.03,Garame Group
81,USP67,-105.4812,,24.972702,6.80,9.70,4.40,Limestone,2609.91,2.74,Garame Group
68,USP54,-105.5253,,24.986643,3.30,9.40,4.00,Lithic ignimbrite,2330.01,1.62,Garame Group
70,USP56,-105.5238,,24.979462,6.50,8.00,3.40,Quartz vein,2449.40,2.31,Garame Group
69,USP55,-105.5417,,24.974102,4.50,7.50,3.30,Sandstone,2550.65,1.88,Garame Group
83,USP69,-105.4860,,24.968210,2.60,6.00,3.14,Sandstone,2550.65,1.30,Garame Group
84,USP6b,-105.4882,,24.967153,8.30,27.20,3.70,Sandstone,2550.65,4.12,Garame Group
86,USP71,-105.5246,,24.965385,1255.00,316.00,10.20,Sandstone,2550.65,326.28,Garame Group
87,USP71b,-105.5246,,24.965385,62.60,6.90,4.60,Sandstone,2550.65,16.06,Garame Group
97,USPB1,-105.4930,,24.965224,3,7.3,2.9,Sandstone,2550.65,1.46,Garame Group
107,USPB11,-105.5215,,24.967479,5.7,7.8,3.8,Sandstone,2550.65,2.23,Garame Group
82,USP68,-105.4831,,24.971994,3.90,12.00,3.00,Sandstone and ash flow tuff,2550.70,2.00,Garame Group
85,USP70,-105.5013,,24.969882,4.50,4.20,3.50,Sandstone and ash flow tuff,2550.70,1.68,Garame Group
99,USPB3,-105.4891,,24.967144,3.8,9.9,3.9,Shales and sandstone,2550.70,1.92,Garame Group
101,USPB5,-105.5246,,24.965385,142,8,5.1,Shales and sandstone,2550.70,35.46,Garame Group
102,USPB6,-105.5246,,24.965385,27.5,8.3,4.9,Shales and sandstone,2550.70,7.65,Garame Group
103,USPB7,-105.5246,,24.965385,14.8,8.2,5.4,Shales and sandstone,2550.70,4.61,Garame Group
104,USPB8,-105.5246,,24.965385,42.4,9.2,4.7,Shales and sandstone,2550.70,11.31,Garame Group
105,USPB9,-105.5246,,24.965385,717.9,18.2,7.4,Shales and sandstone,2550.70,176.17,Garame Group
98,USPB2,-105.4926,,24.965013,7,9,4,Silstone,2550.70,2.64,Late Cretaceous Granodiorite
106,USPB10,-105.5234,,24.968749,3.2,11.5,4.7,Silstone,2550.70,1.95,Late Cretaceous Granodiorite
165,USPB67,-105.1591,,24.785463,3.6,15.7,3.5,Granodiorite,2589.42,2.24,Late Cretaceous Granodiorite
166,USPB68,-105.1591,,24.785463,3.1,15.5,3.7,Granodiorite,2589.42,2.13,Late Cretaceous Granodiorite
167,USPB69,-105.1591,,24.785463,5.4,9.6,3,Granodiorite,2589.42,2.24,Late Cretaceous Granodiorite
15,USP9b,-105.5257,,25.089110,5.00,18.20,2.20,Andesite,2484.50,2.53,Volcanosedymentary succession
16,USP10a,-105.5257,,25.089110,4.60,16.20,3.10,Andesite,2484.50,2.39,Volcanosedymentary succession
62,USP48,-105.3206,,25.257204,3.40,12.50,2.90,Andesite,2484.50,1.85,Volcanosedymentary succession
71,USP57,-105.4626,,24.953382,4.10,10.90,3.70,Andesite,2484.50,1.98,Volcanosedymentary succession
72,USP58,-105.4288,,24.748475,3.60,15.60,3.20,Andesite,2484.50,2.12,Volcanosedymentary succession
89,USP73,-105.4349,,24.728565,4.30,14.20,3.10,Andesite,2484.50,2.19,Volcanosedymentary succession
121,USPB25,-105.4348,,24.728684,3.9,12.2,3,Andesite,2484.50,1.96,Volcanosedymentary succession
122,USPB26,-105.4218,,24.737453,3.4,10.9,1.6,Andesite,2484.50,1.64,Volcanosedymentary succession
135,USPB39,-105.7824,,25.284170,4.6,11.9,7.3,Andesite,2484.50,2.48,Volcanosedymentary succession
136,USPB40,-105.7824,,25.284170,6.8,11.9,6.5,Andesite,2484.50,2.93,Volcanosedymentary succession
137,USPB41,-105.7824,,25.284170,4.3,11.8,13.8,Andesite,2484.50,2.96,Volcanosedymentary succession
157,USPB59,-105.5044,,25.062626,2,7.4,1.5,Andesite,2484.50,1.07,Volcanosedymentary succession
158,USPB60,-105.5044,,25.062626,3.5,7.3,1.9,Andesite,2484.50,1.46,Volcanosedymentary succession
171,USPB73,-105.2080,,24.933200,10,32,4,Andesite,2484.50,4.75,Volcanosedymentary succession
172,USPB74,-105.2080,,24.933200,10.7,39.1,3.4,Andesite,2484.50,5.31,Volcanosedymentary succession
173,USPB75,-105.2080,,24.933200,12.3,32.3,4.1,Andesite,2484.50,5.32,Volcanosedymentary succession
49,USP35b,-105.5433,,25.069759,9.40,34.80,4.60,Andesite,2484.50,4.83,Volcanosedymentary succession
50,USP36,-105.5433,,25.069759,11.10,41.70,4.10,Andesite,2484.50,5.63,Volcanosedymentary succession
77,USP63,-105.4201,,24.761869,8.70,30.00,5.30,Ash flow tuff,2461.33,4.38,Volcanosedymentary succession
73,USP59,-105.4259,,24.700704,18.90,11.70,2.50,Conglomerate,2367.70,5.18,Volcanosedymentary succession
75,USP61,-105.4201,,24.761869,4.80,14.80,2.60,Conglomerate,2367.70,2.19,Volcanosedymentary succession
