time,latitude,longitude,depth,mag,magType,nst,gap,dmin,rms,net,id,updated,place,type,horizontalError,depthError,magError,magNst,status,locationSource,magSource
1970-08-31T16:55:16.860Z,19.7705,-155.8111667,8.783,3.06,ml,14,186,,0.11,hv,hv19702985,2020-03-31T17:51:45.710Z,"18 km ENE of Kalaoa, Hawaii",earthquake,1.53,1.44,0.24,2,reviewed,hv,hv
1970-09-13T11:52:29.900Z,19.6498333,-156.4385,7.264,3,ml,22,243,,0.09,hv,hv19703075,2020-03-31T19:58:17.330Z,"46 km W of Kailua-Kona, Hawaii",earthquake,1.75,2.83,,1,reviewed,hv,hv
1970-09-18T06:02:07.390Z,19.3941667,-155.4631667,10.183,3.12,ml,19,83,,0.12,hv,hv19703102,2020-03-31T19:58:21.090Z,"21 km N of P?hala, Hawaii",earthquake,0.66,0.95,,1,reviewed,hv,hv
1970-09-20T20:20:17.900Z,19.975,-155.9983333,28.318,3.34,ml,24,173,,0.1,hv,hv19703135,2020-03-31T19:58:25.550Z,"16 km W of Puako, Hawaii",earthquake,1.08,2.5,0.17,4,reviewed,hv,hv
1970-09-21T11:26:36.500Z,19.3306667,-155.1996667,9.851,4.46,ml,23,172,,0.09,hv,hv19703140,2020-03-31T19:58:26.240Z,"12 km SSE of Volcano, Hawaii",earthquake,0.75,0.55,0.22,4,reviewed,hv,hv
1970-09-22T08:35:26.850Z,19.2546667,-155.2495,8.078,3.13,ml,20,184,,0.11,hv,hv19703162,2020-03-31T19:58:29.220Z,"20 km S of Volcano, Hawaii",earthquake,0.63,0.79,,2,reviewed,hv,hv
1970-09-23T03:15:23.730Z,20.2563333,-155.7151667,11.47,3.43,ml,20,176,,0.08,hv,hv19703172,2020-03-31T19:58:50.550Z,"7 km ENE of Hala‘ula, Hawaii",earthquake,0.77,1.55,0.18,4,reviewed,hv,hv
1970-09-25T11:20:13.610Z,19.7501667,-156.6511667,4.804,3.65,ml,22,256,,0.12,hv,hv19703193,2020-03-31T19:58:53.440Z,"Hawaii region, Hawaii",earthquake,3,0.63,0.17,4,reviewed,hv,hv
1970-09-27T00:37:18.240Z,19.4425,-155.4485,8.8,3.4,ml,21,129,,0.12,hv,hv19703207,2020-03-31T19:58:55.460Z,"22 km W of Volcano, Hawaii",earthquake,0.67,0.8,0.11,2,reviewed,hv,hv
1970-10-07T06:17:59.390Z,19.3911667,-155.2845,29.051,3.01,ml,22,46,,0.11,hv,hv19703319,2020-03-31T19:51:31.500Z,"7 km SW of Volcano, Hawaii",earthquake,0.64,0.94,0.36,2,reviewed,hv,hv
1970-10-08T16:13:04.560Z,19.3393333,-155.128,-0.271,3.31,ml,16,196,,0.08,hv,hv19703330,2020-03-31T19:51:33.050Z,"Island of Hawaii, Hawaii",earthquake,0.97,0.56,0.2,2,reviewed,hv,hv
1970-10-13T18:40:01.290Z,19.5153333,-155.2445,24.137,3.41,ml,21,73,,0.1,hv,hv19703381,2020-03-31T19:56:36.760Z,"8 km N of Volcano, Hawaii",earthquake,0.67,1.13,0.18,4,reviewed,hv,hv
1970-10-14T11:32:42.440Z,19.4395,-155.5463333,5.018,3.45,ml,17,91,,0.08,hv,hv19703390,2020-03-31T19:56:38.070Z,"27 km NNW of P?hala, Hawaii",earthquake,0.54,1.14,0.33,2,reviewed,hv,hv
1970-10-18T01:25:47.180Z,19.353,-155.2548333,7.401,3.18,ml,20,140,,0.13,hv,hv19703445,2020-03-31T19:56:46.920Z,"10 km SSW of Volcano, Hawaii",earthquake,0.62,0.88,0.03,2,reviewed,hv,hv
1970-10-25T18:32:53.700Z,19.3486667,-155.2285,30.991,4.21,ml,23,160,,0.09,hv,hv19703516,2020-03-31T19:57:38.040Z,"10 km S of Volcano, Hawaii",earthquake,1.93,2.45,0.07,4,reviewed,hv,hv
