"Object","Orbit ID","H (mag)","Estimated Diameter (m)","OCC","Min. delta-V [delta-V, dur.] (km/s), (d)","Min. Duration [delta-V, dur.] (km/s), (d)","Viable Trajectories","Next Optical Opportunity (yyyy-mm [Vp])","Next Goldstone Radar Opportunity (yyyy-mm [SNR])",""
"(2000 SG344)","17","24.7","20 - 89","3","3.563, 346","6.916, 98","3302685","2028-04 [19.1]","2028-05 [58]","bK00SY4G"
"469219 Kamo`oalewa (2016 HO3)","27","24.3","24 - 106","0","6.281, 354","6.997, 330","3162158","2022-11 [22.5]","none","a0469219"
"(2001 FR85)","13","24.8","19 - 85","3","4.610, 354","6.982, 138","1681641","2038-10 [21.1]","none","bK01F85R"
"(2006 BZ147)","13","25.4","14 - 65","3","4.242, 354","6.971, 186","1676518","2034-12 [19.2]","2035-02 [40]","bK06BE7Z"
"(2018 PM28)","6","25.8","12 - 55","3","5.114, 354","7.000, 186","1412503","2043-06 [21.4]","none","bK18P28M"
"(2017 SV19)","8","25.0","17 - 78","5","4.895, 354","6.989, 98","1255101","2028-09 [24.0]","none","bK17S19V"
"(2022 MP2)","3","26.0","11 - 49","5","5.488, 354","6.861, 290","1198013","2023-06 [22.3]","none","bK22M02P"
"(2020 VL)","16","25.2","16 - 72","2","6.608, 354","6.898, 194","1186049","2022-10 [21.9]","none","bK20V00L"
"(2021 UL7)","30","25.8","12 - 54","3","4.876, 330","6.969, 122","1164775","2031-07 [22.9]","none","bK21U07L"
"(2009 BW2)","17","25.1","17 - 74","2","5.337, 354","6.832, 234","1105655","2040-12 [23.3]","none","bK09B02W"
"(2022 GM1)","9","25.6","13 - 59","5","6.133, 338","6.989, 266","1090874","2023-05 [22.1]","none","bK22G01M"
"(2021 JG6)","16","24.0","28 - 123","3","5.774, 346","6.989, 274","1082512","2022-12 [21.3]","none","bK21J06G"
"(2020 OK5)","49","25.4","14 - 65","2","5.355, 354","7.000, 58","1080841","2029-06 [21.2]","none","bK20O05K"
"(2021 AE8)","12","25.6","13 - 58","5","5.976, 354","6.922, 194","1064608","2027-09 [23.1]","none","bK21A08E"
"(2020 PJ6)","4","25.6","13 - 59","6","4.713, 298","6.971, 162","1047965","? 2036-04 [18.9] ?","none","bK20P06J"
"(2007 CS5)","10","24.6","21 - 94","6","5.476, 354","6.987, 290","1043616","2041-01 [22.3]","none","bK07C05S"
"(2009 HC)","33","24.7","20 - 89","5","4.580, 354","6.993, 274","1004497","2025-08 [22.8]","2025-10 [40]","bK09H00C"
"(2015 JD3)","12","25.5","14 - 62","4","5.000, 354","6.986, 202","983819","2027-05 [21.1]","none","bK15J03D"
"(2016 TB18)","29","24.8","19 - 85","3","5.483, 354","6.931, 226","957617","2026-04 [21.6]","none","bK16T18B"
"(2021 UH2)","14","25.1","17 - 74","4","5.576, 354","6.986, 290","949370","2022-10 [21.6]","none","bK21U02H"
"(2013 WA44)","32","23.4","37 - 165","0","5.857, 354","6.989, 154","948564","2028-10 [20.3]","none","bK13W44A"
"(2012 HK31)","16","25.4","14 - 65","7","5.950, 314","6.991, 218","944369","? 2022-10 [22.8] ?","none","bK12H31K"
"(2012 MD7)","5","24.1","26 - 118","7","5.150, 354","6.893, 234","922207","? 2038-02 [23.7] ?","none","bK12M07D"
"(2014 YD)","29","24.3","24 - 107","3","5.351, 354","6.950, 210","918683","2024-10 [22.0]","none","bK14Y00D"
"(2020 PN1)","13","25.5","14 - 63","0","5.719, 354","6.998, 338","864800","2022-09 [22.3]","none","bK20P01N"
"(2022 RG)","1","25.8","12 - 53","7","5.392, 354","6.982, 146","862152","2022-09 [21.9]","2023-02 [16]","bK22R00G"
"(2012 BB14)","11","25.0","17 - 78","4","5.150, 354","7.000, 242","853805","2022-12 [21.7]","none","bK12B14B"
"(2019 KF2)","9","25.1","17 - 74","6","5.163, 338","6.971, 210","842144","2027-12 [23.5]","none","bK19K02F"
"(2022 RC2)","1","25.5","14 - 61","6","6.474, 354","6.999, 338","838632","2022-09 [21.3]","none","bK22R02C"
"(2017 BN93)","4","25.4","14 - 65","7","4.746, 202","6.999, 74","824278","? 2032-03 [21.3] ?","none","bK17B93N"
"(2007 YF)","25","24.9","19 - 83","0","5.408, 346","6.964, 218","783495","2034-11 [17.9]","2034-11 [72]","bK07Y00F"
"(2010 JK1)","25","24.4","23 - 103","2","5.570, 314","6.986, 266","776043","2033-03 [22.9]","none","bK10J01K"
"(1999 CG9)","13","25.2","16 - 71","6","5.289, 354","6.940, 162","758970","2033-08 [22.7]","none","bJ99C09G"
"(2016 UE)","11","25.1","17 - 74","3","5.390, 354","6.908, 210","757955","2029-07 [22.1]","none","bK16U00E"
"(2020 SH6)","12","24.8","19 - 85","4","6.073, 354","6.961, 194","735453","2027-12 [22.3]","none","bK20S06H"
"(2020 OG)","7","25.6","13 - 59","6","5.850, 354","6.977, 202","718008","? 2027-12 [21.9] ?","none","bK20O00G"
"(2000 AG6)","12","25.3","15 - 68","5","6.245, 354","6.996, 346","711720","2043-09 [23.0]","none","bK00A06G"
"(2018 ER1)","13","25.6","13 - 59","5","5.344, 354","6.997, 314","678597","2022-09 [21.6]","none","bK18E01R"
"(2020 MU1)","12","24.8","19 - 85","2","4.584, 354","6.993, 146","673109","none","none","bK20M01U"
"613862 (2007 UY1)","75","23.1","42 - 187","0","5.606, 354","6.958, 290","665212","2032-09 [20.6]","none","a0613862"
"(2019 FV2)","21","24.9","18 - 81","2","4.876, 354","6.998, 258","657796","2032-09 [23.5]","none","bK19F02V"
"(2001 QJ142)","24","23.7","32 - 142","0","5.574, 354","6.958, 170","650658","2023-11 [19.6]","none","bK01QE2J"
"(2017 KP27)","7","25.8","12 - 54","2","5.180, 354","6.962, 314","638831","2037-05 [23.0]","none","bK17K27P"
"(2015 BM510)","14","25.1","17 - 74","5","6.030, 330","6.994, 226","633396","2025-10 [22.6]","none","bK15Bp0M"
"(2011 AU4)","9","25.9","11 - 51","7","5.168, 354","7.000, 242","628774","? 2031-05 [23.1] ?","none","bK11A04U"
"(2018 PK21)","32","25.9","11 - 51","2","4.297, 354","6.986, 250","606097","none","none","bK18P21K"
"(2010 HA)","17","23.9","29 - 129","3","6.345, 346","6.918, 322","603711","2025-04 [23.8]","none","bK10H00A"
"(2020 UF7)","26","24.7","20 - 88","3","6.384, 354","6.979, 218","600233","2026-10 [21.3]","none","bK20U07F"
"(2019 UO1)","6","25.0","17 - 78","6","6.016, 354","6.997, 314","595310","? 2027-01 [20.2] ?","none","bK19U01O"
"(2019 KM2)","3","25.5","14 - 62","7","5.499, 354","6.974, 282","594932","? 2038-06 [22.1] ?","none","bK19K02M"
"(2001 CQ36)","42","22.7","49 - 220","0","5.846, 354","6.991, 282","591960","2031-01 [17.2]","2031-02 [130]","bK01C36Q"
"(2017 HK1)","26","25.1","17 - 74","5","6.819, 354","6.960, 266","588847","2030-02 [21.4]","none","bK17H01K"
"(2018 LQ2)","69","24.9","18 - 81","3","6.009, 354","6.981, 250","588502","2026-04 [21.4]","none","bK18L02Q"
"613400 (2006 FH36)","44","23.0","43 - 193","0","6.015, 354","6.997, 306","574734","2033-04 [23.9]","none","a0613400"
"(2017 FB3)","10","25.9","11 - 51","4","5.438, 346","6.943, 298","573593","2030-07 [20.8]","none","bK17F03B"
"(2021 AF5)","11","24.8","19 - 85","6","5.964, 210","6.992, 162","565760","2031-01 [23.8]","none","bK21A05F"
"(2012 PB20)","18","24.9","18 - 81","4","5.297, 354","6.912, 322","564858","2024-11 [21.8]","2025-02 [820]","bK12P20B"
"(2022 CJ1)","14","25.6","13 - 60","4","6.087, 354","6.985, 330","564178","2030-01 [21.2]","none","bK22C01J"
"(2005 TG50)","21","24.8","19 - 84","0","5.916, 346","6.968, 210","559294","2036-08 [23.7]","none","bK05T50G"
"478784 (2012 UV136)","48","25.6","13 - 59","0","5.035, 354","6.985, 314","548503","none","none","a0478784"
"(2021 EP2)","23","24.1","27 - 120","2","6.816, 338","6.947, 330","544335","2023-04 [23.8]","none","bK21E02P"
"(2014 KF39)","17","25.3","15 - 68","3","5.394, 354","6.995, 266","541803","2031-02 [22.1]","none","bK14K39F"
"(2020 MO3)","5","24.6","21 - 94","4","6.282, 354","6.915, 346","541262","2032-05 [21.0]","none","bK20M03O"
"(2020 DT4)","8","25.5","14 - 62","6","6.307, 354","6.982, 338","533075","2022-10 [23.7]","none","bK20D04T"
"(2011 UX275)","5","25.8","12 - 54","7","5.843, 354","6.986, 290","518159","? 2030-12 [23.2] ?","none","bK11UR5X"
"(2016 DJ)","19","25.6","13 - 59","4","6.525, 354","6.945, 322","511586","2042-06 [22.4]","none","bK16D00J"
"612600 (2003 SM84)","35","23.0","43 - 194","1","6.375, 354","6.979, 162","509762","2027-11 [20.8]","none","a0612600"
"(2022 JH)","8","25.2","16 - 72","5","5.816, 354","6.788, 338","508612","2022-09 [23.9]","none","bK22J00H"
"(2011 AA37)","30","22.8","48 - 214","0","6.067, 354","6.963, 322","507295","2026-01 [19.2]","none","bK11A37A"
"(2022 LW)","6","25.6","13 - 60","5","6.119, 354","6.991, 322","505430","2041-04 [23.0]","none","bK22L00W"
"(2019 HM)","5","25.9","11 - 51","1","4.707, 354","6.984, 154","493344","none","none","bK19H00M"
"(2020 XD7)","9","25.4","15 - 65","4","6.714, 354","6.999, 226","491495","2026-08 [23.1]","none","bK20X07D"
"(2009 CV)","31","24.3","24 - 107","0","6.244, 306","6.947, 202","487542","2022-09 [22.3]","2029-03 [45]","bK09C00V"
"(2009 YF)","12","24.7","20 - 89","7","6.469, 226","7.000, 194","477268","2037-11 [23.7]","none","bK09Y00F"
"(1999 AO10)","17","23.9","29 - 129","6","6.532, 202","6.959, 138","471975","2032-12 [22.9]","2026-02 [29]","bJ99A10O"
"(2016 CF137)","15","25.6","13 - 59","4","6.496, 354","6.966, 282","471862","2024-03 [22.9]","none","bK16CD7F"
"(2004 JN1)","31","23.7","32 - 142","2","6.244, 354","6.991, 290","469190","2029-07 [21.5]","none","bK04J01N"
"(2020 RF5)","7","24.1","27 - 120","4","5.361, 354","6.985, 274","464153","2030-08 [23.8]","none","bK20R05F"
"(2021 EX)","11","26.0","11 - 49","6","5.544, 346","6.828, 306","462341","? 2035-11 [22.7] ?","none","bK21E00X"
"(2015 VO105)","30","24.1","26 - 118","2","5.903, 346","6.905, 314","453806","2030-02 [20.8]","none","bK15VA5O"
"(2020 HS1)","9","25.8","12 - 54","6","6.049, 354","6.956, 138","444439","? 2026-12 [22.8] ?","none","bK20H01S"
"(2021 KP1)","6","25.4","14 - 65","7","6.031, 354","6.966, 170","436677","? 2028-11 [21.7] ?","none","bK21K01P"
