,El-array,Spa.1,Spa.2,Spa.3,Spa.4,Rho ,Dev., M  ,Sp  ,Vp  ,In  
,Schlum. VES,0.00,10.50,3.50,7.00,1.83,0.06,0.00,10.83,98.076,1175.550
,Schlum. VES,0.00,24.50,10.50,14.00,9.22,3.29,0.00,-593.38,87.090,1246.145
,Schlum. VES,0.00,31.50,14.00,17.50,6.35,0.20,0.00,-57.12,12.231,423.557
,Schlum. VES,0.00,21.00,7.00,14.00,8.03,0.05,0.00,-23.53,204.511,1119.486
,Schlum. VES,0.00,35.00,14.00,21.00,6.64,29.32,0.00,528.77,8.231,163.645
,Schlum. VES,0.00,49.00,21.00,28.00,12.38,13.58,0.00,-393.06,0.850,18.117
,Schlum. VES,0.00,63.00,28.00,35.00,6.77,8.02,0.00,220.90,1.552,100.842
,Schlum. VES,0.00,77.00,35.00,42.00,31.26,2.71,0.00,-305.86,3.151,66.504
,Schlum. VES,0.00,17.50,3.50,14.00,4.29,0.05,0.00,-12.12,208.050,711.783
,Schlum. VES,0.00,31.50,10.50,21.00,7.05,0.06,0.00,-9.82,35.389,331.386
,Schlum. VES,0.00,45.50,17.50,28.00,10.93,59.02,0.00,-400.92,0.349,4.676
,Schlum. VES,0.00,59.50,24.50,35.00,8.57,0.37,0.00,-141.21,3.039,90.981
,Schlum. VES,0.00,73.50,31.50,42.00,149.57,4.38,0.00,-450.82,2.702,7.151
,Schlum. VES,0.00,80.50,35.00,45.50,7.77,3.00,0.00,-18.54,3.879,237.868
,Schlum. VES,0.00,49.00,17.50,31.50,11.11,0.45,0.00,-17.80,1.660,18.481
,Schlum. VES,0.00,63.00,24.50,38.50,19.69,0.07,0.00,-227.57,9.465,101.739
,Schlum. VES,0.00,77.00,31.50,45.50,16.53,1.14,0.00,-240.02,3.415,66.419
,Schlum. VES,0.00,38.50,10.50,28.00,14.55,0.09,0.00,-256.75,2.578,9.349
,Schlum. VES,0.00,52.50,17.50,35.00,9.75,0.00,0.00,-207.73,10.743,121.148
,Schlum. VES,0.00,66.50,24.50,42.00,26.06,1.32,0.00,-332.07,3.504,24.840
,Schlum. VES,0.00,73.50,28.00,45.50,82.46,2.20,0.00,-2.29,2.658,7.372
,Schlum. VES,0.00,80.50,31.50,49.00,4.44,0.23,0.00,-84.08,3.771,235.423
,Schlum. VES,0.00,56.00,17.50,38.50,15.65,0.25,0.00,-184.85,15.502,99.828
,Schlum. VES,0.00,70.00,24.50,45.50,20.16,1.49,0.00,-210.82,3.955,32.715
,Schlum. VES,0.00,45.50,10.50,35.00,13.70,0.41,0.00,-190.33,1.396,4.800
,Schlum. VES,0.00,59.50,17.50,42.00,12.13,2.49,0.00,-355.62,11.859,92.167
,Schlum. VES,0.00,73.50,24.50,49.00,30.57,0.80,0.00,-60.57,1.494,7.526
,Schlum. VES,0.00,80.50,28.00,52.50,4.21,0.44,0.00,188.84,5.205,232.861
,Schlum. VES,0.00,35.00,3.50,31.50,24.61,0.02,0.00,196.67,199.408,100.231
,Schlum. VES,0.00,63.00,17.50,45.50,11.30,0.33,0.00,-157.28,12.953,102.425
,Schlum. VES,0.00,77.00,24.50,52.50,5.80,0.25,0.00,-17.29,2.664,66.300
,Schlum. VES,0.00,52.50,10.50,42.00,16.48,0.18,0.00,-337.52,45.832,122.321
,Schlum. VES,0.00,66.50,17.50,49.00,13.91,23.95,0.00,-73.40,4.074,25.058
,Schlum. VES,0.00,80.50,24.50,56.00,5.23,0.38,0.00,-17.58,8.800,230.299
,Schlum. VES,3.50,14.00,7.00,10.50,3.00,0.05,0.00,202.55,113.061,829.361
,Schlum. VES,3.50,28.00,14.00,17.50,7.94,5.51,0.00,-282.09,46.887,778.752
,Schlum. VES,3.50,35.00,17.50,21.00,6.78,0.38,0.00,-69.45,5.020,162.933
,Schlum. VES,3.50,24.50,10.50,17.50,9.39,0.06,0.00,0.03,212.018,993.106
,Schlum. VES,3.50,38.50,17.50,24.50,19.28,143.47,0.00,320.32,1.351,9.244
,Schlum. VES,3.50,52.50,24.50,31.50,11.63,1.90,0.00,-284.28,5.404,122.580
,Schlum. VES,3.50,66.50,31.50,38.50,109.08,7.21,0.00,9.56,6.255,25.222
,Schlum. VES,3.50,80.50,38.50,45.50,-2.80,12.45,0.00,-107.96,-0.957,225.428
,Schlum. VES,3.50,21.00,7.00,17.50,7.42,0.03,0.00,175.82,202.225,399.538
,Schlum. VES,3.50,35.00,14.00,24.50,12.68,0.53,0.00,87.67,26.083,135.746
,Schlum. VES,3.50,49.00,21.00,31.50,13.37,13.99,0.00,-287.87,1.676,18.381
,Schlum. VES,3.50,63.00,28.00,38.50,20.85,0.09,0.00,-111.82,8.304,102.196
,Schlum. VES,3.50,77.00,35.00,45.50,22.37,2.56,0.00,-304.08,3.724,65.893
,Schlum. VES,3.50,52.50,21.00,35.00,11.42,0.05,0.00,-62.74,11.392,123.422
,Schlum. VES,3.50,66.50,28.00,42.00,30.09,1.54,0.00,-264.26,3.609,25.385
,Schlum. VES,3.50,80.50,35.00,49.00,4.59,1.78,0.00,-70.27,3.202,224.144
,Schlum. VES,3.50,42.00,14.00,31.50,17.71,0.16,0.00,-74.66,2.801,8.347
,Schlum. VES,3.50,56.00,21.00,38.50,18.03,4.77,0.00,-221.74,16.316,99.528
,Schlum. VES,3.50,70.00,28.00,45.50,23.70,0.86,0.00,-138.54,4.229,32.964
,Schlum. VES,3.50,77.00,31.50,49.00,7.84,2.12,0.00,5.78,2.248,65.559
,Schlum. VES,3.50,59.50,21.00,42.00,13.10,0.68,0.00,-254.39,11.993,92.304
,Schlum. VES,3.50,73.50,28.00,49.00,31.16,0.45,0.00,13.85,1.440,7.708
,Schlum. VES,3.50,49.00,14.00,38.50,45.31,0.06,0.00,-135.60,17.744,18.455
