Date,Temp_Max,Temp_Min,Temp_Avg,Temp_Departure,HDD,CDD,Prec,New_Snow_,Snow_Dept,FID
2020/01/01 00:00:00+00,60,40,50,-5,15,0,0,M,M,1
2020/07/31 00:00:00+00,116,91,103.5,9.1,0,39,0,0,0,2
2020/02/23 00:00:00+00,64,49,56.5,-4.5,8,0,T,0,0,3
2020/01/02 00:00:00+00,64,41,52.5,-2.6,12,0,T,M,M,4
2020/02/24 00:00:00+00,71,49,60,-1.2,5,0,0,0,0,5
2020/01/03 00:00:00+00,64,41,52.5,-2.7,12,0,0,M,M,6
2020/02/25 00:00:00+00,68,47,57.5,-3.9,7,0,0,0,0,7
2020/01/04 00:00:00+00,68,41,54.5,-0.8,10,0,0,M,M,8
2020/01/05 00:00:00+00,70,42,56,0.7,9,0,0,M,M,9
2020/04/16 00:00:00+00,86,56,71,-1.7,0,6,0,0,M,10
2020/02/26 00:00:00+00,67,46,56.5,-5.1,8,0,0,0,M,11
2020/02/27 00:00:00+00,77,45,61,-0.8,4,0,0,0,M,12
2020/04/17 00:00:00+00,89,58,73.5,0.5,0,9,0,0,M,13
2020/01/06 00:00:00+00,71,41,56,0.6,9,0,0,M,M,14
2020/01/07 00:00:00+00,73,43,58,2.5,7,0,0,M,M,15
2020/04/18 00:00:00+00,80,58,69,-4.3,0,4,0,0,M,16
2020/02/28 00:00:00+00,77,51,64,2.1,1,0,0,0,M,17
2020/04/19 00:00:00+00,83,59,71,-2.7,0,6,0,0,M,18
2020/09/22 00:00:00+00,103,84,93.5,7.1,0,29,T,0,0,19
2020/06/08 00:00:00+00,90,75,82.5,-6.4,0,18,0,0,0,20
2020/01/08 00:00:00+00,68,45,56.5,0.9,8,0,0,M,M,21
2020/02/29 00:00:00+00,79,51,65,3,0,0,0,0,0,22
2020/06/09 00:00:00+00,94,74,84,-5.2,0,19,0,0,M,23
2020/09/23 00:00:00+00,105,77,91,5,0,26,0,0,0,24
2020/04/20 00:00:00+00,87,62,74.5,0.5,0,10,0,0,M,25
2020/08/01 00:00:00+00,111,93,102,7.7,0,37,0,M,M,26
2020/01/09 00:00:00+00,64,46,55,-0.7,10,0,0,M,M,27
2020/03/01 00:00:00+00,77,53,65,2.9,0,0,0,0,0,28
2020/09/24 00:00:00+00,106,77,91.5,5.9,0,27,0,0,0,29
2020/06/10 00:00:00+00,105,72,88.5,-1,0,24,0,0,M,30
2020/04/21 00:00:00+00,83,63,73,-1.3,0,8,0,0,0,31
2020/08/02 00:00:00+00,109,93,101,6.7,0,36,0,M,M,32
2020/03/02 00:00:00+00,70,50,60,-2.3,5,0,0,0,0,33
2020/01/10 00:00:00+00,64,43,53.5,-2.3,11,0,0,M,M,34
2020/11/14 00:00:00+00,75,49,62,-2.7,3,0,0,0,0,35
2020/06/11 00:00:00+00,108,75,91.5,1.8,0,27,0,0,M,36
2020/09/25 00:00:00+00,105,78,91.5,6.3,0,27,0,0,0,37
2020/03/03 00:00:00+00,76,52,64,1.5,1,0,T,0,0,38
2020/04/22 00:00:00+00,91,61,76,1.4,0,11,0,0,M,39
2020/08/03 00:00:00+00,114,89,101.5,7.3,0,37,0,M,M,40
2020/06/12 00:00:00+00,110,80,95,5,0,30,0,0,M,41
2020/11/15 00:00:00+00,82,50,66,1.7,0,1,0,0,0,42
2020/01/11 00:00:00+00,63,40,51.5,-4.4,13,0,0,M,M,43
2020/03/04 00:00:00+00,75,51,63,0.3,2,0,0,0,0,44
2020/04/23 00:00:00+00,97,65,81,6.1,0,16,0,0,M,45
2020/09/26 00:00:00+00,103,77,90,5.2,0,25,0,0,0,46
2020/11/16 00:00:00+00,92,54,73,9.2,0,8,0,0,0,47
2020/08/04 00:00:00+00,111,87,99,4.8,0,34,0,M,M,48
2020/06/13 00:00:00+00,106,79,92.5,2.2,0,28,0,0,M,49
2020/03/05 00:00:00+00,84,54,69,6.1,0,4,0,0,M,50
2020/04/24 00:00:00+00,98,69,83.5,8.3,0,19,0,0,M,51
2020/01/12 00:00:00+00,65,38,51.5,-4.5,13,0,0,M,M,52
2020/09/27 00:00:00+00,102,76,89,4.6,0,24,0,0,0,53
2020/11/17 00:00:00+00,92,61,76.5,13.1,0,12,0,0,0,54
2020/08/05 00:00:00+00,112,90,101,6.9,0,36,0,M,M,55
2020/06/14 00:00:00+00,107,74,90.5,-0.1,0,26,0,0,M,56
2020/03/06 00:00:00+00,86,59,72.5,9.4,0,8,0,0,0,57
2020/04/25 00:00:00+00,99,70,84.5,8.9,0,20,0,0,M,58
2020/01/13 00:00:00+00,69,41,55,-1.1,10,0,0,M,M,59
2020/11/18 00:00:00+00,89,61,75,12.1,0,10,0,0,0,60
2020/09/28 00:00:00+00,104,74,89,5,0,24,0,0,0,61
2020/08/06 00:00:00+00,109,83,96,1.9,0,31,0,M,M,62
2020/06/15 00:00:00+00,106,77,91.5,0.7,0,27,0,0,M,63
2020/04/26 00:00:00+00,102,71,86.5,10.6,0,22,0,0,0,64
2020/03/07 00:00:00+00,85,60,72.5,9.2,0,8,0,0,0,65
2020/11/19 00:00:00+00,87,60,73.5,11,0,9,0,0,0,66
2020/01/14 00:00:00+00,70,42,56,-0.2,9,0,0,M,M,67
2020/06/16 00:00:00+00,106,77,91.5,0.4,0,27,0,0,M,68
2020/09/29 00:00:00+00,102,78,90,6.4,0,25,0,0,0,69
2020/08/07 00:00:00+00,109,83,96,2,0,31,0,M,M,70
2020/04/27 00:00:00+00,102,73,87.5,11.3,0,23,0,0,0,71
2020/03/08 00:00:00+00,75,61,68,4.5,0,3,0,0,0,72
2020/01/15 00:00:00+00,69,47,58,1.7,7,0,0,M,M,73
2020/11/20 00:00:00+00,87,59,73,10.9,0,8,0,0,0,74
2020/09/30 00:00:00+00,105,77,91,7.8,0,26,0,0,M,75
2020/06/17 00:00:00+00,104,76,90,-1.4,0,25,0,0,M,76
2020/08/08 00:00:00+00,111,88,99.5,5.5,0,35,0,M,M,77
2020/03/09 00:00:00+00,79,55,67,3.3,0,2,0,0,M,78
2020/01/16 00:00:00+00,66,51,58.5,2.1,6,0,0,M,M,79
2020/04/28 00:00:00+00,101,69,85,8.5,0,20,0,0,0,80
2020/11/21 00:00:00+00,85,61,73,11.3,0,8,0,0,0,81
2020/06/18 00:00:00+00,103,76,89.5,-2.1,0,25,0,0,0,82
2020/10/01 00:00:00+00,107,76,91.5,8.8,0,27,0,0,0,83
2020/08/09 00:00:00+00,112,84,98,4.1,0,33,0,M,M,84
2020/03/10 00:00:00+00,73,60,66.5,2.6,0,2,0.28,0,0,85
2020/01/17 00:00:00+00,65,45,55,-1.5,10,0,0,M,M,86
2020/06/19 00:00:00+00,102,76,89,-2.9,0,24,0,0,0,87
2020/11/22 00:00:00+00,84,60,72,10.7,0,7,0,0,0,88
2020/04/29 00:00:00+00,104,73,88.5,11.7,0,24,0,0,0,89
2020/10/02 00:00:00+00,106,75,90.5,8.2,0,26,0,0,0,90
2020/03/11 00:00:00+00,66,61,63.5,-0.6,1,0,0.67,0,0,91
2020/08/10 00:00:00+00,111,84,97.5,3.6,0,33,0,M,M,92
2020/06/20 00:00:00+00,105,77,91,-1.1,0,26,0,0,0,93
2020/11/23 00:00:00+00,80,58,69,8.1,0,4,0,0,0,94
2020/01/18 00:00:00+00,70,42,56,-0.6,9,0,0,M,M,95
