rid,UserLanguage,platform,duration,latitude,longitude,age,gender,firstlang,country,emotion,valence,arousal,temp_cat,response
R_1,English,prolific,247,28.52740479,-81.60119629,42,Female,English,United States,"Energetic, Excited",7,3,temp0,1
R_1,English,prolific,247,28.52740479,-81.60119629,42,Female,English,United States,"Secure, At ease",7,3,temp10,2
R_1,English,prolific,247,28.52740479,-81.60119629,42,Female,English,United States,"Jittery, Nervous",7,3,temp40,5
R_1,English,prolific,247,28.52740479,-81.60119629,42,Female,English,United States,"Dull, Bored",7,3,temp30,4
R_1,English,prolific,247,28.52740479,-81.60119629,42,Female,English,United States,"Passive, Quiet",7,3,temp10,2
R_1,English,prolific,247,28.52740479,-81.60119629,42,Female,English,United States,"Jittery, Nervous",7,3,temp0,1
R_1,English,prolific,247,28.52740479,-81.60119629,42,Female,English,United States,"Unhappy, Dissatisfied",7,3,temp30,3
R_1,English,prolific,247,28.52740479,-81.60119629,42,Female,English,United States,"Tense, Bothered",7,3,temp20,2
R_1,English,prolific,247,28.52740479,-81.60119629,42,Female,English,United States,"Relaxed, Calm",7,3,temp20,3
R_1,English,prolific,247,28.52740479,-81.60119629,42,Female,English,United States,"Dull, Bored",7,3,temp10,2
R_1,English,prolific,247,28.52740479,-81.60119629,42,Female,English,United States,"Active, Alert",7,3,temp0,1
R_1,English,prolific,247,28.52740479,-81.60119629,42,Female,English,United States,"Secure, At ease",7,3,temp40,5
R_1,English,prolific,247,28.52740479,-81.60119629,42,Female,English,United States,"Passive, Quiet",7,3,temp40,5
R_1,English,prolific,247,28.52740479,-81.60119629,42,Female,English,United States,"Relaxed, Calm",7,3,temp40,1
R_1,English,prolific,247,28.52740479,-81.60119629,42,Female,English,United States,"Happy, Satisfied",7,3,temp20,3
R_1,English,prolific,247,28.52740479,-81.60119629,42,Female,English,United States,"Blue, Uninspired",7,3,temp40,1
R_1,English,prolific,247,28.52740479,-81.60119629,42,Female,English,United States,"Happy, Satisfied",7,3,temp40,5
R_1,English,prolific,247,28.52740479,-81.60119629,42,Female,English,United States,"Blue, Uninspired",7,3,temp0,5
R_1,English,prolific,247,28.52740479,-81.60119629,42,Female,English,United States,"Secure, At ease",7,3,temp20,2
R_1,English,prolific,247,28.52740479,-81.60119629,42,Female,English,United States,"Dull, Bored",7,3,temp20,3
R_1,English,prolific,247,28.52740479,-81.60119629,42,Female,English,United States,"Unhappy, Dissatisfied",7,3,temp10,2
R_1,English,prolific,247,28.52740479,-81.60119629,42,Female,English,United States,"Happy, Satisfied",7,3,temp0,1
R_1,English,prolific,247,28.52740479,-81.60119629,42,Female,English,United States,"Jittery, Nervous",7,3,temp10,2
R_1,English,prolific,247,28.52740479,-81.60119629,42,Female,English,United States,"Tense, Bothered",7,3,temp30,4
R_1,English,prolific,247,28.52740479,-81.60119629,42,Female,English,United States,"Happy, Satisfied",7,3,temp30,4
R_1,English,prolific,247,28.52740479,-81.60119629,42,Female,English,United States,"Blue, Uninspired",7,3,temp20,3
R_1,English,prolific,247,28.52740479,-81.60119629,42,Female,English,United States,"Unhappy, Dissatisfied",7,3,temp0,1
R_1,English,prolific,247,28.52740479,-81.60119629,42,Female,English,United States,"Active, Alert",7,3,temp10,2
R_1,English,prolific,247,28.52740479,-81.60119629,42,Female,English,United States,"Tense, Bothered",7,3,temp40,5
R_1,English,prolific,247,28.52740479,-81.60119629,42,Female,English,United States,"Enthusiastic, Inspired",7,3,temp10,2
R_1,English,prolific,247,28.52740479,-81.60119629,42,Female,English,United States,"Secure, At ease",7,3,temp30,3
R_1,English,prolific,247,28.52740479,-81.60119629,42,Female,English,United States,"Blue, Uninspired",7,3,temp10,4
R_1,English,prolific,247,28.52740479,-81.60119629,42,Female,English,United States,"Active, Alert",7,3,temp20,3
R_1,English,prolific,247,28.52740479,-81.60119629,42,Female,English,United States,"Unhappy, Dissatisfied",7,3,temp40,5
R_1,English,prolific,247,28.52740479,-81.60119629,42,Female,English,United States,"Enthusiastic, Inspired",7,3,temp0,1
R_1,English,prolific,247,28.52740479,-81.60119629,42,Female,English,United States,"Energetic, Excited",7,3,temp10,2
R_1,English,prolific,247,28.52740479,-81.60119629,42,Female,English,United States,"Enthusiastic, Inspired",7,3,temp20,3
R_1,English,prolific,247,28.52740479,-81.60119629,42,Female,English,United States,"Enthusiastic, Inspired",7,3,temp30,3
R_1,English,prolific,247,28.52740479,-81.60119629,42,Female,English,United States,"Energetic, Excited",7,3,temp40,5
R_1,English,prolific,247,28.52740479,-81.60119629,42,Female,English,United States,"Passive, Quiet",7,3,temp30,4
R_1,English,prolific,247,28.52740479,-81.60119629,42,Female,English,United States,"Happy, Satisfied",7,3,temp10,2
R_1,English,prolific,247,28.52740479,-81.60119629,42,Female,English,United States,"Secure, At ease",7,3,temp0,1
R_1,English,prolific,247,28.52740479,-81.60119629,42,Female,English,United States,"Energetic, Excited",7,3,temp20,3
R_1,English,prolific,247,28.52740479,-81.60119629,42,Female,English,United States,"Dull, Bored",7,3,temp40,5
R_1,English,prolific,247,28.52740479,-81.60119629,42,Female,English,United States,"Active, Alert",7,3,temp40,5
R_1,English,prolific,247,28.52740479,-81.60119629,42,Female,English,United States,"Jittery, Nervous",7,3,temp20,3
R_1,English,prolific,247,28.52740479,-81.60119629,42,Female,English,United States,"Tense, Bothered",7,3,temp0,1
R_1,English,prolific,247,28.52740479,-81.60119629,42,Female,English,United States,"Unhappy, Dissatisfied",7,3,temp20,3
R_1,English,prolific,247,28.52740479,-81.60119629,42,Female,English,United States,"Relaxed, Calm",7,3,temp30,2
R_1,English,prolific,247,28.52740479,-81.60119629,42,Female,English,United States,"Relaxed, Calm",7,3,temp0,5
R_1,English,prolific,247,28.52740479,-81.60119629,42,Female,English,United States,"Enthusiastic, Inspired",7,3,temp40,4
R_1,English,prolific,247,28.52740479,-81.60119629,42,Female,English,United States,"Dull, Bored",7,3,temp0,1
R_1,English,prolific,247,28.52740479,-81.60119629,42,Female,English,United States,"Jittery, Nervous",7,3,temp30,3
R_1,English,prolific,247,28.52740479,-81.60119629,42,Female,English,United States,"Blue, Uninspired",7,3,temp30,1
R_1,English,prolific,247,28.52740479,-81.60119629,42,Female,English,United States,"Tense, Bothered",7,3,temp10,2
R_1,English,prolific,247,28.52740479,-81.60119629,42,Female,English,United States,"Passive, Quiet",7,3,temp0,1
R_1,English,prolific,247,28.52740479,-81.60119629,42,Female,English,United States,"Active, Alert",7,3,temp30,3
